AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2020,1,Total Nacional,Oceanía,Total Oceanía,7714,58308,7.6
2020,1,Total Nacional,África,Total África,194051,1623314,8.4
2020,2,Total Nacional,América,Total América,232265,1685066,7.3
2020,2,Total Nacional,Asia,Total Asia,159170,945505,5.9
2020,2,Total Nacional,Europa,Total Europa,4061274,31196606,7.7
2020,2,Total Nacional,Oceanía,Total Oceanía,3676,25730,7.0
2020,2,Total Nacional,África,Total África,153181,1234607,8.1
2020,3,Total Nacional,América,Total América,184545,1699099,9.2
2020,3,Total Nacional,Asia,Total Asia,80217,628785,7.8
2020,3,Total Nacional,Europa,Total Europa,3112567,36488888,11.7
2020,3,Total Nacional,Oceanía,Total Oceanía,2930,25591,8.7
2020,3,Total Nacional,África,Total África,111741,1144773,10.2
2020,4,Total Nacional,América,Total América,65958,829862,12.6
2020,4,Total Nacional,Asia,Total Asia,37131,291364,7.8
2020,4,Total Nacional,Europa,Total Europa,748390,10632103,14.2
2020,4,Total Nacional,Oceanía,Total Oceanía,790,8381,10.6
2020,4,Total Nacional,África,Total África,45112,470160,10.4
2020,5,Total Nacional,América,Total América,68251,799784,11.7
2020,5,Total Nacional,Asia,Total Asia,35500,279922,7.9
2020,5,Total Nacional,Europa,Total Europa,874138,11313762,12.9
2020,5,Total Nacional,Oceanía,Total Oceanía,866,9279,10.7
2020,5,Total Nacional,África,Total África,50339,519034,10.3
2020,6,Total Nacional,América,Total América,67005,529418,7.9
2020,6,Total Nacional,Asia,Total Asia,33869,224574,6.6
2020,6,Total Nacional,Europa,Total Europa,1130655,8484140,7.5
2020,6,Total Nacional,Oceanía,Total Oceanía,876,6203,7.1
2020,6,Total Nacional,África,Total África,53504,431427,8.1
2020,7,Total Nacional,América,Total América,84769,915846,10.8
2020,7,Total Nacional,Asia,Total Asia,43417,361855,8.3
2020,7,Total Nacional,Europa,Total Europa,2950567,27286849,9.2
2020,7,Total Nacional,Oceanía,Total Oceanía,1299,12984,10.0
2020,7,Total Nacional,África,Total África,73865,811563,11.0
2020,8,Total Nacional,América,Total América,87864,1036702,11.8
2020,8,Total Nacional,Asia,Total Asia,47834,414359,8.7
2020,8,Total Nacional,Europa,Total Europa,3674665,39217677,10.7
2020,8,Total Nacional,Oceanía,Total Oceanía,1188,13519,11.4
2020,8,Total Nacional,África,Total África,77202,791688,10.3
2020,9,Total Nacional,América,Total América,82419,906705,11.0
2020,9,Total Nacional,Asia,Total Asia,39686,304406,7.7
2020,9,Total Nacional,Europa,Total Europa,2068874,21533096,10.4
2020,9,Total Nacional,Oceanía,Total Oceanía,1144,11693,10.2
2020,9,Total Nacional,África,Total África,65500,566824,8.7
2020,10,Total Nacional,América,Total América,77954,946458,12.1
2020,10,Total Nacional,Asia,Total Asia,37675,349155,9.3
2020,10,Total Nacional,Europa,Total Europa,1886318,23485672,12.5
2020,10,Total Nacional,Oceanía,Total Oceanía,927,12191,13.2
2020,10,Total Nacional,África,Total África,64264,771264,12.0
2020,11,Total Nacional,América,Total América,72714,813416,11.2
2020,11,Total Nacional,Asia,Total Asia,37546,276799,7.4
2020,11,Total Nacional,Europa,Total Europa,1464692,18275765,12.5
2020,11,Total Nacional,Oceanía,Total Oceanía,830,9610,11.6
2020,11,Total Nacional,África,Total África,58639,523958,8.9
2020,12,Total Nacional,América,Total América,83191,1002221,12.0
2020,12,Total Nacional,Asia,Total Asia,41049,358027,8.7
2020,12,Total Nacional,Europa,Total Europa,1673022,22185021,13.3
2020,12,Total Nacional,Oceanía,Total Oceanía,824,11732,14.2
2020,12,Total Nacional,África,Total África,63739,734124,11.5
2021,1,Total Nacional,América,Total América,70969,564784,8.0
2021,1,Total Nacional,Asia,Total Asia,36094,230068,6.4
2021,1,Total Nacional,Europa,Total Europa,1321404,10111731,7.7
2021,1,Total Nacional,Oceanía,Total Oceanía,596,4722,7.9
2021,1,Total Nacional,África,Total África,51494,305356,5.9
2021,2,Total Nacional,América,Total América,60647,543907,9.0
2021,2,Total Nacional,Asia,Total Asia,32936,219720,6.7
2021,2,Total Nacional,Europa,Total Europa,1169568,10903043,9.3
2021,2,Total Nacional,Oceanía,Total Oceanía,524,5169,9.9
2021,2,Total Nacional,África,Total África,49624,384588,7.8
2021,3,Total Nacional,América,Total América,69744,643263,9.2
2021,3,Total Nacional,Asia,Total Asia,39515,283357,7.2
2021,3,Total Nacional,Europa,Total Europa,1414086,13387909,9.5
2021,3,Total Nacional,Oceanía,Total Oceanía,612,5795,9.5
2021,3,Total Nacional,África,Total África,54947,433469,7.9
2021,4,Total Nacional,América,Total América,75697,713080,9.4
2021,4,Total Nacional,Asia,Total Asia,38385,257483,6.7
2021,4,Total Nacional,Europa,Total Europa,1554668,14156679,9.1
2021,4,Total Nacional,Oceanía,Total Oceanía,568,5246,9.2
2021,4,Total Nacional,África,Total África,44629,339810,7.6
2021,5,Total Nacional,América,Total América,75941,656283,8.6
2021,5,Total Nacional,Asia,Total Asia,42151,297019,7.0
