TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
47623,490030,10.289775948596267
22245,280792,12.622701730726005
8407,88415,10.516831212085167
39497,501381,12.694153986378712
27121,329947,12.16573872644814
51758,591556,11.42926697322153
6298,92451,14.679422038742459
35553,507813,14.283267234832504
6761,68071,10.068185179707143
45472,503028,11.062368050668542
5966,68949,11.556989607777405
14500,214209,14.773034482758622
80935,1117388,13.805992463087662
16413,207601,12.648571254493389
16405,181030,11.03505028954587
33450,396377,11.8498355754858
3604,56473,15.66953385127636
16675,252171,15.122698650674662
8435,117581,13.939656194427979
94452,1378313,14.592734934146446
28901,387548,13.409501401335595
17661,188031,10.646679123492442
14103,209064,14.824079982982344
25515,354812,13.906016068979032
167587,2035721,12.147248891620471
18388,233247,12.684740047857298
21839,180953,8.285773158111635
12417,165311,13.313280180397841
23101,257663,11.153759577507467
6075,44232,7.280987654320987
8111,112024,13.811367279003822
5759,78284,13.593332175724953
12841,153777,11.975469200218052
58043,541139,9.32307082680082
9512,144008,15.139613120269134
59166,702570,11.874556333029105
89605,907942,10.132715808269628
19936,270450,13.56591091492777
10714,120738,11.269180511480306
17312,228445,13.195760166358594
8404,93465,11.121489766777724
53655,737249,13.740546081446277
8823,126944,14.387849937662926
6860,92142,13.431778425655976
103323,974084,9.427562111049815
7792,115548,14.82905544147844
18584,223387,12.020393887214809
5442,81066,14.896361631753033
152061,2023030,13.304068761878456
6125,55984,9.140244897959183
37258,554666,14.887165172580385
70312,981050,13.952810331095687
31573,338370,10.717068381211796
15488,214295,13.83619576446281
7182,65484,9.117794486215539
28603,370583,12.956088522182988
20731,271099,13.076986155998263
74206,758214,10.217691291809288
4536,61441,13.545194003527337
24781,370783,14.96239054114039
5290,51923,9.81531190926276
32575,351764,10.798587874136608
4342,47225,10.876324274527867
12738,172454,13.538546082587533
71897,893062,12.42140840368861
13876,156322,11.265638512539637
11513,134647,11.69521410579345
28196,296228,10.506029224003404
2478,34920,14.092009685230025
20585,293030,14.235122662132621
9620,149134,15.502494802494802
87885,1409653,16.03974512146555
31222,432146,13.841073601947345
21917,263526,12.023817128256605
17471,244671,14.004407303531567
33020,509181,15.42038158691702
203289,2614858,12.862761880869108
20825,285833,13.72547418967587
24757,222603,8.991517550591752
14053,181134,12.88934747029104
25101,304681,12.1382016652723
6661,58328,8.756643146674673
9337,145111,15.541501552961337
6646,103206,15.529040024074632
14529,192763,13.267465069860279
60231,635342,10.548421908983746
11550,179130,15.50909090909091
75840,916418,12.083570675105486
102395,1183649,11.559636701010792
24818,322608,12.99895237327746
11279,139037,12.32706800248249
18942,250840,13.242529827895682
9851,116674,11.843873718404224
50048,774348,15.472106777493606
11054,177235,16.033562511308123
7579,100346,13.240005277741126
113578,1280101,11.270677419922873
9324,125664,13.477477477477477
23236,290959,12.52190566362541
6091,88880,14.592021014611722
186369,2591243,13.903830572681079
7134,80246,11.248388001121391
41582,645659,15.527367610985523
67952,1015118,14.938750882976219
36780,432356,11.755193039695486
19992,236642,11.836834733893557
8772,86563,9.868103055175558
37156,465027,12.515529120465066
25096,341081,13.591050366592286
89303,1074832,12.03578827139066
5268,72473,13.757213363705391
29162,433584,14.86811604142377
5804,63862,11.003101309441764
36105,418793,11.5993075751281
4457,54733,12.280233340812206
14477,211706,14.623609863922084
78078,1074730,13.764824918671072
15690,199251,12.69923518164436
15741,176551,11.215996442411537
30817,375966,12.199954570529254
2847,41134,14.448191078328065
29561,288561,9.761543926118874
10878,114691,10.543390329104614
267397,2422913,9.061107641446988
47130,517295,10.975917674517293
22079,201518,9.1271343810861
22746,242742,10.671854391981007
32501,311555,9.586012738069599
674329,3887027,5.764288648419392
38191,274244,7.180854127935901
25021,178459,7.1323688101994325
18984,208525,10.984249894648125
36018,341650,9.485535010272642
20490,162577,7.934455832113226
10305,104303,10.12159146045609
6688,67124,10.036483253588516
17129,142405,8.313678556833441
110553,879446,7.954971823469286
17514,159166,9.08792965627498
97571,712594,7.303338082012074
190226,1185469,6.231897847823116
68765,520674,7.5717879735330476
13655,111722,8.181764921274258
34894,304857,8.736659597638562
21616,131955,6.104505921539601
173310,1229561,7.0945761929490505
11716,149869,12.791823147832025
10316,104097,10.090829778984101
604765,4665231,7.714122014336147
11622,120950,10.40698674926863
54692,356258,6.513895999414905
7060,75944,10.756940509915013
493391,3306511,6.701603799015385
22174,210897,9.511003878416163
72977,795409,10.899447771215588
281375,2307691,8.201478454020435
44903,370519,8.251542213215153
23858,202130,8.472210579260626
9287,68553,7.3816087003338
46297,408583,8.825258656068428
35182,271030,7.703655278267296
438134,3549706,8.101872942980915
7063,60759,8.60243522582472
99973,666641,6.668210416812539
6071,45823,7.5478504365014
51478,422169,8.200959633241384
5678,49045,8.637724550898204
19825,183216,9.241664564943253
147274,1167371,7.926524709045724
18198,166879,9.17018353665238
15238,123201,8.085116156975982
41203,356887,8.661675120743634
4648,41706,8.97289156626506
24109,373606,15.496536563109212
10358,174343,16.831724271094807
242100,3041572,12.56328789756299
44561,674992,15.14759543098225
22192,311226,14.024242970439799
20647,325914,15.785053518670994
33211,571177,17.19842823161001
436572,4211296,9.646280567695593
30465,373465,12.25882159855572
25512,250200,9.807149576669802
14811,194426,13.12713523732361
34684,470760,13.572828970130319
18689,201916,10.804002354326075
9203,152679,16.590133652069976
6422,105123,16.369199626284647
16798,222044,13.218478390284558
109311,1043942,9.550200803212851
15106,233667,15.468489341983318
90096,1143540,12.692461374533831
145288,1572549,10.823667474258025
50197,584398,11.642090164750881
13073,164098,12.552436319131033
34065,438692,12.878086012035814
14629,149806,10.240344521156606
163107,1490491,9.138117922590691
10793,199343,18.469656258686186
9315,133635,14.34621578099839
398708,3651992,9.159565396229823
9997,154071,15.411723517055117
38185,449443,11.770145345030771
6927,113773,16.424570521149125
326464,4008266,12.277819300137228
18115,227899,12.580678995307755
